policy,asset,t,w,u,v
g_mean,CMC200,124,2.299841470196839e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,125,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,126,2.299841470365568e-08,6.775631983008557e-08,6.775631982848637e-08
g_mean,CMC200,127,2.299841470196839e-08,6.775631982843216e-08,6.775631983011268e-08
g_mean,CMC200,128,2.2998414702070033e-08,6.775631982929953e-08,6.775631982921821e-08
g_mean,CMC200,129,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,130,2.2998414702029375e-08,6.775631982843216e-08,6.775631983011268e-08
g_mean,CMC200,131,2.2998414702171677e-08,6.775631982932663e-08,6.77563198291911e-08
g_mean,CMC200,132,2.2998414704699223e-08,6.775631983051925e-08,6.775631982799848e-08
g_mean,CMC200,133,2.2998414708216104e-08,6.775631983103425e-08,6.775631982751059e-08
g_mean,CMC200,134,2.2998414697563817e-08,6.775631982395983e-08,6.775631983461212e-08
g_mean,CMC200,135,2.2998414701975165e-08,6.775631983146793e-08,6.775631982707691e-08
g_mean,CMC200,136,2.2998414700945173e-08,6.775631982875742e-08,6.775631982978742e-08
g_mean,CMC200,137,2.2998414696167907e-08,6.775631982688718e-08,6.775631983165767e-08
g_mean,CMC200,138,2.2998414697319872e-08,6.775631982984163e-08,6.775631982870321e-08
g_mean,CMC200,139,2.299841469966446e-08,6.775631983043794e-08,6.77563198280798e-08
g_mean,CMC200,140,2.2998414697401187e-08,6.775631982816111e-08,6.775631983041083e-08
g_mean,CMC200,141,2.2998414696838757e-08,6.775631982897426e-08,6.775631982954347e-08
g_mean,CMC200,142,2.2998414697238557e-08,6.775631982946216e-08,6.775631982908269e-08
g_mean,CMC200,143,2.299841469777388e-08,6.775631982954347e-08,6.775631982900137e-08
g_mean,CMC200,144,2.299841470388607e-08,6.775631983230819e-08,6.775631982620955e-08
g_mean,CMC200,145,2.2998414708249985e-08,6.775631983144082e-08,6.775631982710402e-08
g_mean,CMC200,146,2.2998414697319872e-08,6.77563198237972e-08,6.775631983472054e-08
g_mean,CMC200,147,2.2998414705092246e-08,6.775631983314844e-08,6.775631982536929e-08
g_mean,CMC200,148,2.299841470024044e-08,6.775631982683297e-08,6.775631983168477e-08
