policy,t,turnover,cost_t,cost_acum
g_worst,40,1.2278589603398338e-17,3.3605581010306625e-09,0.0025001310816459236
g_worst,41,2.1738253558334364e-17,3.360558101030337e-09,0.0025001344422040245
g_worst,42,3.6591823321385775e-18,3.360558101030446e-09,0.0025001378027621254
g_worst,43,6.884683795282953e-18,3.3605581010302287e-09,0.0025001411633202263
g_worst,44,1.7024684613453633e-16,3.3605581010302287e-09,0.002500144523878327
g_worst,45,1.586187778346293e-16,3.360558101030446e-09,0.002500147884436428
g_worst,46,1.6355189771943834e-16,3.360558101030446e-09,0.002500151244994529
g_worst,47,1.5807667674838655e-16,3.3605581010306625e-09,0.00250015460555263
g_worst,48,1.5829351718288365e-16,3.3605581010304454e-09,0.0025001579661107307
g_worst,49,1.6357900277375048e-16,3.360558101030554e-09,0.0025001613266688316
g_worst,50,1.5935061430105701e-16,3.360558101030446e-09,0.0025001646872269325
g_worst,51,1.617900691891494e-16,3.360558101030446e-09,0.0025001680477850334
g_worst,52,1.647445201091724e-16,3.3605581010306625e-09,0.0025001714083431343
g_worst,53,1.5845614750875647e-16,3.3605581010306625e-09,0.002500174768901235
g_worst,54,1.577514160966409e-16,3.360558101030446e-09,0.002500178129459336
g_worst,55,1.6853922771287166e-16,3.3605581010306625e-09,0.002500181490017437
g_worst,56,1.360673726469308e-17,3.360558101030554e-09,0.002500184850575538
g_worst,57,4.391018798566293e-18,3.3605581010306625e-09,0.0025001882111336388
g_worst,58,2.439454888092385e-18,3.360558101030446e-09,0.0025001915716917397
g_worst,59,9.2970336290632e-18,3.360558101030337e-09,0.0025001949322498405
g_worst,60,1.6170875402621299e-16,3.3605581010302287e-09,0.0025001982928079414
g_worst,61,1.682681771697503e-16,3.360558101030554e-09,0.0025002016533660423
g_worst,62,1.3660947373317356e-17,3.360558101030229e-09,0.0025002050139241432
g_worst,63,4.607859233063394e-18,3.360558101030554e-09,0.002500208374482244
g_worst,64,2.3852447794681098e-18,3.360558101030446e-09,0.002500211735040345
g_worst,65,9.161508357502512e-18,3.360558101030663e-09,0.002500215095598446
g_worst,66,1.6160033380896444e-16,3.360558101030446e-09,0.002500218456156547
g_worst,67,1.6810554684387746e-16,3.360558101030446e-09,0.0025002218167146477
g_worst,68,1.3471211993132393e-17,3.360558101030229e-09,0.0025002251772727486
g_worst,69,4.580754178751256e-18,3.360558101030554e-09,0.0025002285378308495
g_worst,70,2.3852447794681098e-18,3.360558101030446e-09,0.0025002318983889504
g_worst,71,9.161508357502512e-18,3.360558101030663e-09,0.0025002352589470513
g_worst,72,1.6160033380896444e-16,3.360558101030446e-09,0.002500238619505152
g_worst,73,1.6810554684387746e-16,3.360558101030446e-09,0.002500241980063253
g_worst,74,1.3471211993132393e-17,3.360558101030229e-09,0.002500245340621354
g_worst,75,4.580754178751256e-18,3.360558101030554e-09,0.002500248701179455
g_worst,76,2.3852447794681098e-18,3.360558101030446e-09,0.0025002520617375557
g_worst,77,9.161508357502512e-18,3.360558101030663e-09,0.0025002554222956566
g_worst,78,1.6160033380896444e-16,3.360558101030446e-09,0.0025002587828537575
g_worst,79,1.6810554684387746e-16,3.360558101030446e-09,0.0025002621434118584
g_worst,80,1.3471211993132393e-17,3.360558101030229e-09,0.0025002655039699593
g_worst,81,4.580754178751256e-18,3.360558101030554e-09,0.00250026886452806
g_worst,82,2.3852447794681098e-18,3.360558101030446e-09,0.002500272225086161
g_worst,83,9.161508357502512e-18,3.360558101030663e-09,0.002500275585644262
g_worst,84,1.6160033380896444e-16,3.360558101030446e-09,0.002500278946202363
g_worst,85,1.6810554684387746e-16,3.360558101030446e-09,0.0025002823067604638
g_worst,86,1.3471211993132393e-17,3.360558101030229e-09,0.0025002856673185647
g_worst,87,4.580754178751256e-18,3.360558101030554e-09,0.0025002890278766655
g_worst,88,2.3852447794681098e-18,3.360558101030446e-09,0.0025002923884347664
g_worst,89,9.161508357502512e-18,3.360558101030663e-09,0.0025002957489928673
g_worst,90,1.6160033380896444e-16,3.360558101030446e-09,0.0025002991095509682
g_worst,91,1.6810554684387746e-16,3.360558101030446e-09,0.002500302470109069
g_worst,92,1.3471211993132393e-17,3.360558101030229e-09,0.00250030583066717
g_worst,93,4.580754178751256e-18,3.360558101030554e-09,0.002500309191225271
g_worst,94,2.3852447794681098e-18,3.360558101030446e-09,0.002500312551783372
g_worst,95,9.161508357502512e-18,3.360558101030663e-09,0.0025003159123414727
g_worst,96,1.6160033380896444e-16,3.360558101030446e-09,0.0025003192728995736
g_worst,97,1.6810554684387746e-16,3.360558101030446e-09,0.0025003226334576745
g_worst,98,1.3471211993132393e-17,3.360558101030229e-09,0.0025003259940157754
g_worst,99,4.580754178751256e-18,3.360558101030554e-09,0.0025003293545738763
g_worst,100,2.3852447794681098e-18,3.360558101030446e-09,0.002500332715131977
g_worst,101,9.161508357502512e-18,3.360558101030663e-09,0.002500336075690078
g_worst,102,1.6160033380896444e-16,3.360558101030446e-09,0.002500339436248179
g_worst,103,1.6810554684387746e-16,3.360558101030446e-09,0.00250034279680628
g_worst,104,1.3471211993132393e-17,3.360558101030229e-09,0.0025003461573643807
g_worst,105,4.580754178751256e-18,3.360558101030554e-09,0.0025003495179224816
g_worst,106,2.3852447794681098e-18,3.360558101030446e-09,0.0025003528784805825
g_worst,107,9.161508357502512e-18,3.360558101030663e-09,0.0025003562390386834
g_worst,108,1.6160033380896444e-16,3.360558101030446e-09,0.0025003595995967843
g_worst,109,1.6810554684387746e-16,3.360558101030446e-09,0.002500362960154885
g_worst,110,1.3471211993132393e-17,3.360558101030229e-09,0.002500366320712986
g_worst,111,4.580754178751256e-18,3.360558101030554e-09,0.002500369681271087
g_worst,112,2.3852447794681098e-18,3.360558101030446e-09,0.002500373041829188
g_worst,113,9.161508357502512e-18,3.360558101030663e-09,0.0025003764023872888
g_worst,114,1.6160033380896444e-16,3.360558101030446e-09,0.0025003797629453896
g_worst,115,1.6810554684387746e-16,3.360558101030446e-09,0.0025003831235034905
g_worst,116,1.3471211993132393e-17,3.360558101030229e-09,0.0025003864840615914
g_worst,117,4.580754178751256e-18,3.360558101030554e-09,0.0025003898446196923
g_worst,118,2.3852447794681098e-18,3.360558101030446e-09,0.0025003932051777932
