asset,setup,t,w
CMC200,rollout,151,0.9999999736544954
CMC200,rollout,152,0.9999999736544954
CMC200,rollout,153,0.9999999736544954
CMC200,rollout,154,0.9999999736544954
CMC200,rollout,155,0.9999999736544954
CMC200,rollout,156,0.9999999736544954
CMC200,rollout,157,0.9999999736544954
CMC200,rollout,158,0.9999999736544954
CMC200,rollout,159,0.9999999736544954
CMC200,rollout,160,0.9999999736544954
CMC200,rollout,161,0.9999999736544954
CMC200,rollout,162,0.9999999736544954
CMC200,rollout,163,0.9999999736544954
CMC200,scenarios,1,0.9999998765968504
CMC200,scenarios,2,0.9999999339400611
CMC200,scenarios,3,0.9999999582934279
CMC200,scenarios,4,0.9999999719479665
CMC200,scenarios,5,0.9999999777324651
CMC200,scenarios,6,0.9999999809239992
CMC200,scenarios,7,0.9999999827826599
CMC200,scenarios,8,0.999999983652958
CMC200,scenarios,9,0.9999999844355228
CMC200,scenarios,10,0.9999999849195262
CMC200,scenarios,11,0.9999999854623519
CMC200,scenarios,12,0.999999985941983
CMC200,scenarios,13,0.9999999860065593
CMC200,scenarios,14,0.9999999862488891
CMC200,scenarios,15,0.9999999864349943
CMC200,scenarios,16,0.9999999863915079
CMC200,scenarios,17,0.9999999865226646
CMC200,scenarios,18,0.9999999864397079
CMC200,scenarios,19,0.9999999865444087
CMC200,scenarios,20,0.9999999867800223
CMC200,scenarios,21,0.999999986872864
CMC200,scenarios,22,0.9999999866741143
CMC200,scenarios,23,0.9999999865792146
CMC200,scenarios,24,0.9999999864573357
CMC200,scenarios,25,0.9999999862798804
CMC200,scenarios,26,0.9999999863444377
CMC200,scenarios,27,0.9999999863474365
CMC200,scenarios,28,0.9999999859872568
CMC200,scenarios,29,0.9999999859231997
CMC200,scenarios,30,0.9999999862367861
CMC200,scenarios,31,0.9999999861539555
CMC200,scenarios,32,0.9999999862057697
CMC200,scenarios,33,0.9999999863212966
CMC200,scenarios,34,0.9999999866515292
CMC200,scenarios,35,0.9999999868103018
CMC200,scenarios,36,0.9999999866446226
CMC200,scenarios,37,0.9999999865404928
CMC200,scenarios,38,0.9999999863937619
CMC200,scenarios,39,0.9999999861987494
CMC200,scenarios,40,0.999999986055721
CMC200,scenarios,41,0.9999999863282718
CMC200,scenarios,42,0.99999998635835
CMC200,scenarios,43,0.9999999867753764
CMC200,scenarios,44,0.9999999868667561
CMC200,scenarios,45,0.9999999868611154
CMC200,scenarios,46,0.9999999867348636
CMC200,scenarios,47,0.9999999866046726
CMC200,scenarios,48,0.9999999866157162
CMC200,scenarios,49,0.9999999865361751
CMC200,scenarios,50,0.9999999865816973
CMC200,scenarios,51,0.9999999862676738
CMC200,scenarios,52,0.9999999863284732
CMC200,scenarios,53,0.9999999863294957
CMC200,scenarios,54,0.9999999865662387
CMC200,scenarios,55,0.9999999866095575
CMC200,scenarios,56,0.9999999862802283
CMC200,scenarios,57,0.9999999866230957
CMC200,scenarios,58,0.9999999863439015
CMC200,scenarios,59,0.9999999864583898
CMC200,scenarios,60,0.9999999864677166
CMC200,scenarios,61,0.9999999865676569
CMC200,scenarios,62,0.9999999864666655
CMC200,scenarios,63,0.9999999861427479
CMC200,scenarios,64,0.9999999862047263
CMC200,scenarios,65,0.9999999861206813
CMC200,scenarios,66,0.99999998589285
CMC200,scenarios,67,0.9999999861132846
CMC200,scenarios,68,0.9999999863897614
CMC200,scenarios,69,0.9999999861900865
CMC200,scenarios,70,0.9999999860711603
CMC200,scenarios,71,0.9999999861074241
CMC200,scenarios,72,0.999999986092686
CMC200,scenarios,73,0.9999999862065759
CMC200,scenarios,74,0.9999999862126349
CMC200,scenarios,75,0.9999999861367252
CMC200,scenarios,76,0.9999999860112411
CMC200,scenarios,77,0.9999999857351325
CMC200,scenarios,78,0.9999999859193048
CMC200,scenarios,79,0.9999999861062308
CMC200,scenarios,80,0.9999999862354937
CMC200,scenarios,81,0.9999999863402367
CMC200,scenarios,82,0.9999999862850488
CMC200,scenarios,83,0.9999999860823361
CMC200,scenarios,84,0.9999999860917814
CMC200,scenarios,85,0.9999999862242742
CMC200,scenarios,86,0.9999999859832892
CMC200,scenarios,87,0.9999999865597191
CMC200,scenarios,88,0.9999999867764261
CMC200,scenarios,89,0.9999999871439648
CMC200,scenarios,90,0.9999999870710182
CMC200,scenarios,91,0.9999999869877141
CMC200,scenarios,92,0.9999999869662859
CMC200,scenarios,93,0.9999999870185434
CMC200,scenarios,94,0.9999999865639058
CMC200,scenarios,95,0.9999999865604724
CMC200,scenarios,96,0.9999999863857644
CMC200,scenarios,97,0.9999999865097735
CMC200,scenarios,98,0.9999999863188155
CMC200,scenarios,99,0.9999999860082553
CMC200,scenarios,100,0.9999999856620027
CMC200,scenarios,101,0.9999999857552111
CMC200,scenarios,102,0.9999999859938601
CMC200,scenarios,103,0.9999999862485535
CMC200,scenarios,104,0.9999999863743991
CMC200,scenarios,105,0.9999999861711116
CMC200,scenarios,106,0.9999999861588609
CMC200,scenarios,107,0.9999999863471175
CMC200,scenarios,108,0.9999999865028127
CMC200,scenarios,109,0.9999999864913046
CMC200,scenarios,110,0.9999999865608658
CMC200,scenarios,111,0.9999999863798862
CMC200,scenarios,112,0.9999999862839094
CMC200,scenarios,113,0.9999999863803618
CMC200,scenarios,114,0.999999986447306
CMC200,scenarios,115,0.9999999866525465
CMC200,scenarios,116,0.999999986531322
CMC200,scenarios,117,0.9999999863419413
CMC200,scenarios,118,0.9999999862218796
CMC200,scenarios,119,0.9999999862092486
CMC200,scenarios,120,0.9999999862773344
CMC200,scenarios,121,0.9999999862017391
CMC200,scenarios,122,0.9999999861266933
CMC200,scenarios,123,0.9999999862918405
CMC200,scenarios,124,0.9999999861968351
CMC200,scenarios,125,0.9999999863829462
CMC200,scenarios,126,0.9999999864277457
CMC200,scenarios,127,0.9999999863500239
CMC200,scenarios,128,0.9999999865339709
CMC200,scenarios,129,0.9999999865797279
CMC200,scenarios,130,0.9999999866279817
CMC200,scenarios,131,0.9999999862055466
CMC200,scenarios,132,0.9999999860255042
CMC200,scenarios,133,0.9999999859248216
CMC200,scenarios,134,0.999999986114802
CMC200,scenarios,135,0.999999986517708
CMC200,scenarios,136,0.9999999867936735
CMC200,scenarios,137,0.9999999868564907
CMC200,scenarios,138,0.9999999866341138
CMC200,scenarios,139,0.9999999863194867
CMC200,scenarios,140,0.9999999862805944
CMC200,scenarios,141,0.9999999862047835
CMC200,scenarios,142,0.9999999861125624
CMC200,scenarios,143,0.9999999863604583
CMC200,scenarios,144,0.9999999864513635
CMC200,scenarios,145,0.9999999863721779
CMC200,scenarios,146,0.999999986235648
CMC200,scenarios,147,0.9999999862790948
CMC200,scenarios,148,0.9999999861960258
CMC200,scenarios,149,0.9999999861834816
CMC200,scenarios,150,0.9999999863469864
CMC200,scenarios,151,0.9999999863673769
CMC200,scenarios,152,0.9999999864681236
CMC200,scenarios,153,0.999999986635656
CMC200,scenarios,154,0.9999999865781282
CMC200,scenarios,155,0.9999999866075151
CMC200,scenarios,156,0.9999999868611849
CMC200,scenarios,157,0.9999999868916588
CMC200,scenarios,158,0.999999986583645
CMC200,scenarios,159,0.9999999864064784
CMC200,scenarios,160,0.9999999863158984
CMC200,scenarios,161,0.9999999863028655
CMC200,scenarios,162,0.9999999862001363
CMC200,scenarios,163,0.9999999860429825
