asset,setup,t,w
SPX,scenarios+psign,98,0.9999999979786686
SPX,scenarios+psign,99,0.99999999753061
SPX,scenarios+psign,100,0.9999999954166549
SPX,scenarios+psign,101,0.9999999972202404
SPX,scenarios+psign,102,0.9999999974274566
SPX,scenarios+psign,103,0.9999999978470017
SPX,scenarios+psign,104,0.9999999981722175
SPX,scenarios+psign,105,0.999999997358759
SPX,scenarios+psign,106,0.9999999972755106
SPX,scenarios+psign,107,0.9999999978615299
SPX,scenarios+psign,108,0.9999999980184109
SPX,scenarios+psign,109,0.9999999977408738
SPX,scenarios+psign,110,0.9999999981597562
SPX,scenarios+psign,111,0.999999997638689
SPX,scenarios+psign,112,0.9999999974236121
SPX,scenarios+psign,113,0.9999999978046333
SPX,scenarios+psign,114,0.9999999976957588
SPX,scenarios+psign,115,0.9999999983124109
SPX,scenarios+psign,116,0.9999999978719628
SPX,scenarios+psign,117,0.9999999977237615
SPX,scenarios+psign,118,0.9999999975181676
SPX,scenarios+psign,119,0.999999997633022
SPX,scenarios+psign,120,0.9999999979182247
SPX,scenarios+psign,121,0.999999997578698
SPX,scenarios+psign,122,0.9999999970629057
SPX,scenarios+psign,123,0.9999999979422428
SPX,scenarios+psign,124,0.9999999973419802
SPX,scenarios+psign,125,0.999999997941134
SPX,scenarios+psign,126,0.9999999979323171
SPX,scenarios+psign,127,0.9999999972460106
SPX,scenarios+psign,128,0.9999999980264715
SPX,scenarios+psign,129,0.9999999978389392
SPX,scenarios+psign,130,0.9999999984513516
SPX,scenarios+psign,131,0.999999997280157
SPX,scenarios+psign,132,0.9999999974328885
SPX,scenarios+psign,133,0.9999999969029623
SPX,scenarios+psign,134,0.9999999972501097
SPX,scenarios+psign,135,0.9999999980207229
SPX,scenarios+psign,136,0.9999999982610881
SPX,scenarios+psign,137,0.9999999983886572
SPX,scenarios+psign,138,0.9999999979956568
SPX,scenarios+psign,139,0.9999999974441716
SPX,scenarios+psign,140,0.9999999979002937
SPX,scenarios+psign,141,0.9999999976785373
SPX,scenarios+psign,142,0.999999996881938
