asset,setup,t,mu_mix_pct
SPX,scenarios+psign,135,0.13474253937602043
SPX,scenarios+psign,136,0.10540811344981194
SPX,scenarios+psign,137,0.1164083369076252
SPX,scenarios+psign,138,0.10907482355833054
SPX,scenarios+psign,139,0.24841288104653358
SPX,scenarios+psign,140,0.22274544462561607
SPX,scenarios+psign,141,0.16774339601397514
SPX,scenarios+psign,142,0.20074453204870224
SPX,scenarios+psign,143,0.1824106089770794
SPX,scenarios+psign,144,0.16407668590545654
SPX,scenarios+psign,145,0.15307646244764328
SPX,scenarios+psign,146,0.2520795911550522
SPX,scenarios+psign,147,0.14574266970157623
SPX,scenarios+psign,148,0.2117450349032879
SPX,scenarios+psign,149,0.22641224786639214
SPX,scenarios+psign,150,0.1164083369076252
SPX,scenarios+psign,151,0.15307646244764328
SPX,scenarios+psign,152,0.2337457612156868
SPX,scenarios+psign,153,0.06507327780127525
SPX,scenarios+psign,154,0.06507327780127525
SPX,scenarios+psign,155,0.14574266970157623
SPX,scenarios+psign,156,0.10540811344981194
SPX,scenarios+psign,157,0.06140647456049919
SPX,scenarios+psign,158,0.1494094729423523
SPX,scenarios+psign,159,0.18607759848237038
SPX,scenarios+psign,160,0.17141038551926613
SPX,scenarios+psign,161,0.10174131020903587
SPX,scenarios+psign,162,0.17141038551926613
SPX,scenarios+psign,163,0.12374203652143478
CMC200,rollout+phist,1,0.6325496360659599
CMC200,rollout+phist,2,0.6325496360659599
CMC200,rollout+phist,3,0.6325496360659599
CMC200,rollout+phist,4,0.6325496360659599
CMC200,rollout+phist,5,0.6325496360659599
CMC200,rollout+phist,6,0.6325496360659599
CMC200,rollout+phist,7,0.6325496360659599
CMC200,rollout+phist,8,0.6325496360659599
CMC200,rollout+phist,9,0.6325496360659599
CMC200,rollout+phist,10,0.6325496360659599
CMC200,rollout+phist,11,0.6325496360659599
CMC200,rollout+phist,12,0.6325496360659599
CMC200,rollout+phist,13,0.6325496360659599
CMC200,rollout+phist,14,0.6325496360659599
CMC200,rollout+phist,15,0.6325496360659599
CMC200,rollout+phist,16,0.6325496360659599
CMC200,rollout+phist,17,0.6325496360659599
CMC200,rollout+phist,18,0.6325496360659599
CMC200,rollout+phist,19,0.6325496360659599
CMC200,rollout+phist,20,0.6325496360659599
CMC200,rollout+phist,21,0.6325496360659599
CMC200,rollout+phist,22,0.6325496360659599
CMC200,rollout+phist,23,0.6325496360659599
CMC200,rollout+phist,24,0.6325496360659599
CMC200,rollout+phist,25,0.6325496360659599
CMC200,rollout+phist,26,0.6325496360659599
CMC200,rollout+phist,27,0.6325496360659599
CMC200,rollout+phist,28,0.6325496360659599
CMC200,rollout+phist,29,0.6325496360659599
CMC200,rollout+phist,30,0.6325496360659599
CMC200,rollout+phist,31,0.6325496360659599
CMC200,rollout+phist,32,0.6325496360659599
CMC200,rollout+phist,33,0.6325496360659599
CMC200,rollout+phist,34,0.6325496360659599
CMC200,rollout+phist,35,0.6325496360659599
CMC200,rollout+phist,36,0.6325496360659599
CMC200,rollout+phist,37,0.6325496360659599
CMC200,rollout+phist,38,0.6325496360659599
CMC200,rollout+phist,39,0.6325496360659599
CMC200,rollout+phist,40,0.6325496360659599
CMC200,rollout+phist,41,0.6325496360659599
CMC200,rollout+phist,42,0.6325496360659599
CMC200,rollout+phist,43,0.6325496360659599
CMC200,rollout+phist,44,0.6325496360659599
CMC200,rollout+phist,45,0.6325496360659599
CMC200,rollout+phist,46,0.6325496360659599
CMC200,rollout+phist,47,0.6325496360659599
CMC200,rollout+phist,48,0.6325496360659599
CMC200,rollout+phist,49,0.6325496360659599
CMC200,rollout+phist,50,0.6325496360659599
CMC200,rollout+phist,51,0.6325496360659599
CMC200,rollout+phist,52,0.6325496360659599
CMC200,rollout+phist,53,0.6325496360659599
CMC200,rollout+phist,54,0.6325496360659599
CMC200,rollout+phist,55,0.6325496360659599
CMC200,rollout+phist,56,0.6325496360659599
CMC200,rollout+phist,57,0.6325496360659599
CMC200,rollout+phist,58,0.6325496360659599
CMC200,rollout+phist,59,0.6325496360659599
CMC200,rollout+phist,60,0.6325496360659599
CMC200,rollout+phist,61,0.6325496360659599
CMC200,rollout+phist,62,0.6325496360659599
CMC200,rollout+phist,63,0.6325496360659599
CMC200,rollout+phist,64,0.6325496360659599
CMC200,rollout+phist,65,0.6325496360659599
CMC200,rollout+phist,66,0.6325496360659599
CMC200,rollout+phist,67,0.6325496360659599
CMC200,rollout+phist,68,0.6325496360659599
CMC200,rollout+phist,69,0.6325496360659599
CMC200,rollout+phist,70,0.6325496360659599
CMC200,rollout+phist,71,0.6325496360659599
CMC200,rollout+phist,72,0.6325496360659599
CMC200,rollout+phist,73,0.6325496360659599
CMC200,rollout+phist,74,0.6325496360659599
CMC200,rollout+phist,75,0.6325496360659599
CMC200,rollout+phist,76,0.6325496360659599
CMC200,rollout+phist,77,0.6325496360659599
CMC200,rollout+phist,78,0.6325496360659599
CMC200,rollout+phist,79,0.6325496360659599
CMC200,rollout+phist,80,0.6325496360659599
CMC200,rollout+phist,81,0.6325496360659599
CMC200,rollout+phist,82,0.6325496360659599
CMC200,rollout+phist,83,0.6325496360659599
CMC200,rollout+phist,84,0.6325496360659599
CMC200,rollout+phist,85,0.6325496360659599
CMC200,rollout+phist,86,0.6325496360659599
CMC200,rollout+phist,87,0.6325496360659599
CMC200,rollout+phist,88,0.6325496360659599
CMC200,rollout+phist,89,0.6325496360659599
CMC200,rollout+phist,90,0.6325496360659599
CMC200,rollout+phist,91,0.6325496360659599
CMC200,rollout+phist,92,0.6325496360659599
CMC200,rollout+phist,93,0.6325496360659599
CMC200,rollout+phist,94,0.6325496360659599
CMC200,rollout+phist,95,0.6325496360659599
CMC200,rollout+phist,96,0.6325496360659599
CMC200,rollout+phist,97,0.6325496360659599
CMC200,rollout+phist,98,0.6325496360659599
CMC200,rollout+phist,99,0.6325496360659599
CMC200,rollout+phist,100,0.6325496360659599
CMC200,rollout+phist,101,0.6325496360659599
CMC200,rollout+phist,102,0.6325496360659599
CMC200,rollout+phist,103,0.6325496360659599
CMC200,rollout+phist,104,0.6325496360659599
CMC200,rollout+phist,105,0.6325496360659599
CMC200,rollout+phist,106,0.6325496360659599
CMC200,rollout+phist,107,0.6325496360659599
CMC200,rollout+phist,108,0.6325496360659599
CMC200,rollout+phist,109,0.6325496360659599
CMC200,rollout+phist,110,0.6325496360659599
CMC200,rollout+phist,111,0.6325496360659599
CMC200,rollout+phist,112,0.6325496360659599
CMC200,rollout+phist,113,0.6325496360659599
CMC200,rollout+phist,114,0.6325496360659599
CMC200,rollout+phist,115,0.6325496360659599
CMC200,rollout+phist,116,0.6325496360659599
CMC200,rollout+phist,117,0.6325496360659599
CMC200,rollout+phist,118,0.6325496360659599
CMC200,rollout+phist,119,0.6325496360659599
CMC200,rollout+phist,120,0.6325496360659599
CMC200,rollout+phist,121,0.6325496360659599
CMC200,rollout+phist,122,0.6325496360659599
CMC200,rollout+phist,123,0.6325496360659599
