setup,t,costo_t,costo_acum
opt_base,44,7.290507556332266e-09,0.001556772346289214
opt_base,45,4.9797500870213e-09,0.001556777326039301
opt_base,46,4.846722958103017e-09,0.0015567821727622592
opt_base,47,4.765831832665986e-09,0.0015567869385940919
opt_base,48,4.262372512564016e-09,0.0015567912009666045
opt_base,49,3.8426314726062126e-09,0.0015567950435980771
opt_base,50,3.886211817843249e-09,0.001556798929809895
opt_base,51,3.796363155898614e-09,0.0015568027261730509
opt_base,52,3.5361713591626063e-09,0.00155680626234441
opt_base,53,3.423769737323672e-09,0.0015568096861141474
opt_base,54,3.4068818607332565e-09,0.0015568130929960082
opt_base,55,3.490717827441332e-09,0.0015568165837138357
opt_base,56,3.5398650034728555e-09,0.0015568201235788392
opt_base,57,5.854947423183635e-09,0.0015568259785262624
opt_base,58,7.869542670066943e-09,0.0015568338480689324
opt_base,59,9.556563374758955e-09,0.0015568434046323073
opt_base,60,6.000428298480372e-09,0.0015568494050606058
opt_base,61,4.6253216731004405e-09,0.001556854030382279
opt_base,62,3.853475615630856e-09,0.0015568578838578947
opt_base,63,3.7229765923499277e-09,0.001556861606834487
opt_base,64,3.6109128209082998e-09,0.001556865217747308
opt_base,65,3.4728283970122706e-09,0.001556868690575705
opt_base,66,3.4024526177672365e-09,0.0015568720930283228
opt_base,67,3.549120401303417e-09,0.001556875642148724
opt_base,68,3.768141346753382e-09,0.0015568794102900707
opt_base,69,4.326737339471497e-09,0.0015568837370274102
opt_base,70,6.384977284193215e-09,0.0015568901220046943
opt_base,71,1.6262849038588134e-08,0.001556906384853733
opt_base,72,4.450188364860602e-05,0.001601408268502339
opt_base,73,4.532266048203515e-09,0.0016014128007683871
opt_base,74,3.846272619049456e-09,0.001601416647041006
opt_base,75,3.636185709850509e-09,0.001601420283226716
opt_base,76,3.85249967502445e-09,0.001601424135726391
opt_base,77,4.104700776271512e-09,0.0016014282404271673
opt_base,78,3.446506787505086e-09,0.0016014316869339548
opt_base,79,4.0263430344073015e-09,0.0016014357132769891
opt_base,80,4.935133360496439e-09,0.0016014406484103497
opt_base,81,5.8281257233863295e-09,0.001601446476536073
opt_base,82,5.640519163498552e-09,0.0016014521170552366
opt_base,83,5.0021158412433085e-09,0.0016014571191710779
opt_base,84,4.416077023829616e-09,0.0016014615352481017
opt_base,85,3.809890221519155e-09,0.0016014653451383231
opt_base,86,3.5427321378048875e-09,0.001601468887870461
opt_base,87,3.5902141148852977e-09,0.0016014724780845759
opt_base,88,3.6062833697530973e-09,0.0016014760843679457
opt_base,89,3.5371870838480174e-09,0.0016014796215550295
opt_base,90,3.4773913189655364e-09,0.0016014830989463484
opt_base,91,3.5298684066833475e-09,0.001601486628814755
opt_base,92,3.534670623059594e-09,0.0016014901634853781
opt_base,93,3.483385876824456e-09,0.001601493646871255
opt_base,94,3.407840199647762e-09,0.0016014970547114547
opt_base,95,3.4239492781605485e-09,0.0016015004786607329
opt_base,96,3.4739541602301038e-09,0.001601503952614893
opt_base,97,3.4940871616264266e-09,0.0016015074467020545
opt_base,98,3.570290744776774e-09,0.0016015110169927992
opt_base,99,3.5563482477751107e-09,0.001601514573341047
opt_base,100,4.077639018050211e-09,0.0016015186509800651
opt_base,101,4.0864783853624034e-09,0.0016015227374584504
opt_base,102,3.6895903122521045e-09,0.0016015264270487627
