setup,t,turnover
opt_base,147,1.1552118274860135e-05
opt_base,148,5.308956100180673e-06
opt_base,149,4.341889190517811e-06
opt_base,150,2.7712170966309735e-06
opt_base,151,2.119366758368546e-06
opt_base,152,1.400260401268616e-06
opt_base,153,8.803742449214891e-07
opt_base,154,6.490335687225901e-07
opt_base,155,6.179642163817167e-07
opt_base,156,7.648511010094339e-07
opt_base,157,4.903000984657346e-07
opt_base,158,3.3844416386097365e-07
opt_base,159,1.9073650806000764e-07
opt_base,160,2.454600718515554e-07
opt_base,161,3.407088936813185e-07
opt_base,162,2.2526011073109586e-07
opt_base,163,1.0737461555998529e-07
