asset,setup,t,w
SPX,opt_base,80,0.80243985010502
SPX,opt_base,81,0.8024405724325356
SPX,opt_base,82,0.8024412526736033
SPX,opt_base,83,0.8024417862279382
SPX,opt_base,84,0.8024421769987078
SPX,opt_base,85,0.802442399249901
SPX,opt_base,86,0.8024425223933328
SPX,opt_base,87,0.8024426663279901
SPX,opt_base,88,0.802442816807144
SPX,opt_base,89,0.8024429372842458
SPX,opt_base,90,0.802443026024317
SPX,opt_base,91,0.8024431429762351
SPX,opt_base,92,0.8024432622348554
SPX,opt_base,93,0.802443354552032
SPX,opt_base,94,0.8024433794677404
SPX,opt_base,95,0.8024433319460349
SPX,opt_base,96,0.8024432452931082
SPX,opt_base,97,0.8024431468253558
SPX,opt_base,98,0.8024430113776626
SPX,opt_base,99,0.802443140693188
SPX,opt_base,100,0.8024434418490816
SPX,opt_base,101,0.8024437454646504
SPX,opt_base,102,0.8024439273781344
SPX,opt_base,103,0.8024440952223424
SPX,opt_base,104,0.802444252080055
SPX,opt_base,105,0.8024443407678971
SPX,opt_base,106,0.8024443578756824
SPX,opt_base,107,0.8024443395565256
SPX,opt_base,108,0.8024442731578872
SPX,opt_base,109,0.8024441762897364
SPX,opt_base,110,0.8024439826492006
SPX,opt_base,111,0.8024437431690679
SPX,opt_base,112,0.8024433648294579
SPX,opt_base,113,0.8024434712751631
SPX,opt_base,114,0.8024435028005152
SPX,opt_base,115,0.8024435172995463
SPX,opt_base,116,0.8024434822949168
SPX,opt_base,117,0.8024436788331321
SPX,opt_base,118,0.8024439136151692
SPX,opt_base,119,0.8238551153106789
SPX,opt_base,120,0.823859007545426
SPX,opt_base,121,0.823866858516666
SPX,opt_base,122,0.8278161100152277
SPX,opt_base,123,0.8278214701828367
SPX,opt_base,124,0.8278234581581122
SPX,opt_base,125,0.8332684018808942
SPX,opt_base,126,0.8333000444628307
SPX,opt_base,127,0.8333028238777305
SPX,opt_base,128,0.8333042854854675
SPX,opt_base,129,0.8333052042707078
SPX,opt_base,130,0.8333058538314712
SPX,opt_base,131,0.8333064568316239
SPX,opt_base,132,0.8333068773447557
SPX,opt_base,133,0.8333071635793114
SPX,opt_base,134,0.8333073384973066
SPX,opt_base,135,0.8333074307909706
SPX,opt_base,136,0.8333751477922684
SPX,opt_base,137,0.8336223846057591
SPX,opt_base,138,0.8336272161132272
SPX,opt_base,139,0.833631709091688
SPX,opt_base,140,0.8336333777443179
SPX,opt_base,141,0.8336342481231968
SPX,opt_base,142,0.8336347099772621
SPX,opt_base,143,0.8336350013618035
SPX,opt_base,144,0.8336351798390118
SPX,opt_base,145,0.8336352787504255
SPX,opt_base,146,0.8433538534693131
SPX,opt_base,147,0.8433596295284506
SPX,opt_base,148,0.8433622840065007
SPX,opt_base,149,0.8433644549510959
SPX,opt_base,150,0.8433658405596443
SPX,opt_base,151,0.8433669002430234
SPX,opt_base,152,0.843367600373224
SPX,opt_base,153,0.8433680405603465
SPX,opt_base,154,0.8433683650771309
SPX,opt_base,155,0.8433686740592391
SPX,opt_base,156,0.8433690564847895
SPX,opt_base,157,0.8433693016348388
SPX,opt_base,158,0.8433694708569207
SPX,opt_base,159,0.8433695662251748
SPX,opt_base,160,0.8433696889552107
SPX,opt_base,161,0.8433698593096576
SPX,opt_base,162,0.8433699719397129
SPX,opt_base,163,0.8433700256270207
CMC200,pdf_aligned,1,0.9999999179168215
CMC200,pdf_aligned,2,0.9999999708623475
CMC200,pdf_aligned,3,0.9999999740397916
CMC200,pdf_aligned,4,0.9999999740894039
CMC200,pdf_aligned,5,0.9999999740320455
CMC200,pdf_aligned,6,0.9999999740072304
CMC200,pdf_aligned,7,0.9999999739735257
CMC200,pdf_aligned,8,0.9999999736788149
CMC200,pdf_aligned,9,0.9999999736526116
CMC200,pdf_aligned,10,0.9999999736528175
CMC200,pdf_aligned,11,0.9999999736538309
CMC200,pdf_aligned,12,0.9999999736542595
CMC200,pdf_aligned,13,0.9999999736544125
CMC200,pdf_aligned,14,0.999999973654466
CMC200,pdf_aligned,15,0.9999999736544849
CMC200,pdf_aligned,16,0.9999999736544916
CMC200,pdf_aligned,17,0.9999999736544941
CMC200,pdf_aligned,18,0.999999973654495
CMC200,pdf_aligned,19,0.9999999736544953
CMC200,pdf_aligned,20,0.9999999736544954
CMC200,pdf_aligned,21,0.9999999736544954
CMC200,pdf_aligned,22,0.9999999736544954
CMC200,pdf_aligned,23,0.9999999736544954
CMC200,pdf_aligned,24,0.9999999736544954
CMC200,pdf_aligned,25,0.9999999736544954
CMC200,pdf_aligned,26,0.9999999736544954
CMC200,pdf_aligned,27,0.9999999736544954
CMC200,pdf_aligned,28,0.9999999736544954
CMC200,pdf_aligned,29,0.9999999736544954
CMC200,pdf_aligned,30,0.9999999736544954
CMC200,pdf_aligned,31,0.9999999736544954
CMC200,pdf_aligned,32,0.9999999736544954
CMC200,pdf_aligned,33,0.9999999736544954
CMC200,pdf_aligned,34,0.9999999736544954
CMC200,pdf_aligned,35,0.9999999736544954
CMC200,pdf_aligned,36,0.9999999736544954
CMC200,pdf_aligned,37,0.9999999736544954
CMC200,pdf_aligned,38,0.9999999736544954
CMC200,pdf_aligned,39,0.9999999736544954
CMC200,pdf_aligned,40,0.9999999736544954
CMC200,pdf_aligned,41,0.9999999736544954
CMC200,pdf_aligned,42,0.9999999736544954
CMC200,pdf_aligned,43,0.9999999736544954
CMC200,pdf_aligned,44,0.9999999736544954
CMC200,pdf_aligned,45,0.9999999736544954
CMC200,pdf_aligned,46,0.9999999736544954
CMC200,pdf_aligned,47,0.9999999736544954
CMC200,pdf_aligned,48,0.9999999736544954
CMC200,pdf_aligned,49,0.9999999736544954
CMC200,pdf_aligned,50,0.9999999736544954
CMC200,pdf_aligned,51,0.9999999736544954
CMC200,pdf_aligned,52,0.9999999736544954
CMC200,pdf_aligned,53,0.9999999736544954
CMC200,pdf_aligned,54,0.9999999736544954
CMC200,pdf_aligned,55,0.9999999736544954
CMC200,pdf_aligned,56,0.9999999736544954
CMC200,pdf_aligned,57,0.9999999736544954
CMC200,pdf_aligned,58,0.9999999736544954
CMC200,pdf_aligned,59,0.9999999736544954
CMC200,pdf_aligned,60,0.9999999736544954
CMC200,pdf_aligned,61,0.9999999736544954
CMC200,pdf_aligned,62,0.9999999736544954
CMC200,pdf_aligned,63,0.9999999736544954
CMC200,pdf_aligned,64,0.9999999736544954
CMC200,pdf_aligned,65,0.9999999736544954
CMC200,pdf_aligned,66,0.9999999736544954
CMC200,pdf_aligned,67,0.9999999736544954
CMC200,pdf_aligned,68,0.9999999736544954
CMC200,pdf_aligned,69,0.9999999736544954
CMC200,pdf_aligned,70,0.9999999736544954
CMC200,pdf_aligned,71,0.9999999736544954
CMC200,pdf_aligned,72,0.9999999736544954
CMC200,pdf_aligned,73,0.9999999736544954
CMC200,pdf_aligned,74,0.9999999736544954
CMC200,pdf_aligned,75,0.9999999736544954
CMC200,pdf_aligned,76,0.9999999736544954
CMC200,pdf_aligned,77,0.9999999736544954
CMC200,pdf_aligned,78,0.9999999736544954
CMC200,pdf_aligned,79,0.9999999736544954
CMC200,pdf_aligned,80,0.9999999736544954
CMC200,pdf_aligned,81,0.9999999736544954
CMC200,pdf_aligned,82,0.9999999736544954
CMC200,pdf_aligned,83,0.9999999736544954
CMC200,pdf_aligned,84,0.9999999736544954
CMC200,pdf_aligned,85,0.9999999736544954
CMC200,pdf_aligned,86,0.9999999736544954
CMC200,pdf_aligned,87,0.9999999736544954
CMC200,pdf_aligned,88,0.9999999736544954
CMC200,pdf_aligned,89,0.9999999736544954
CMC200,pdf_aligned,90,0.9999999736544954
CMC200,pdf_aligned,91,0.9999999736544954
CMC200,pdf_aligned,92,0.9999999736544954
CMC200,pdf_aligned,93,0.9999999736544954
CMC200,pdf_aligned,94,0.9999999736544954
CMC200,pdf_aligned,95,0.9999999736544954
CMC200,pdf_aligned,96,0.9999999736544954
CMC200,pdf_aligned,97,0.9999999736544954
CMC200,pdf_aligned,98,0.9999999736544954
CMC200,pdf_aligned,99,0.9999999736544954
CMC200,pdf_aligned,100,0.9999999736544954
CMC200,pdf_aligned,101,0.9999999736544954
CMC200,pdf_aligned,102,0.9999999736544954
CMC200,pdf_aligned,103,0.9999999736544954
CMC200,pdf_aligned,104,0.9999999736544954
CMC200,pdf_aligned,105,0.9999999736544954
CMC200,pdf_aligned,106,0.9999999736544954
CMC200,pdf_aligned,107,0.9999999736544954
CMC200,pdf_aligned,108,0.9999999736544954
CMC200,pdf_aligned,109,0.9999999736544954
CMC200,pdf_aligned,110,0.9999999736544954
CMC200,pdf_aligned,111,0.9999999736544954
CMC200,pdf_aligned,112,0.9999999736544954
CMC200,pdf_aligned,113,0.9999999736544954
CMC200,pdf_aligned,114,0.9999999736544954
CMC200,pdf_aligned,115,0.9999999736544954
CMC200,pdf_aligned,116,0.9999999736544954
CMC200,pdf_aligned,117,0.9999999736544954
CMC200,pdf_aligned,118,0.9999999736544954
CMC200,pdf_aligned,119,0.9999999736544954
CMC200,pdf_aligned,120,0.9999999736544954
CMC200,pdf_aligned,121,0.9999999736544954
CMC200,pdf_aligned,122,0.9999999736544954
CMC200,pdf_aligned,123,0.9999999736544954
CMC200,pdf_aligned,124,0.9999999736544954
CMC200,pdf_aligned,125,0.9999999736544954
CMC200,pdf_aligned,126,0.9999999736544954
CMC200,pdf_aligned,127,0.9999999736544954
CMC200,pdf_aligned,128,0.9999999736544954
CMC200,pdf_aligned,129,0.9999999736544954
CMC200,pdf_aligned,130,0.9999999736544954
CMC200,pdf_aligned,131,0.9999999736544954
CMC200,pdf_aligned,132,0.9999999736544954
CMC200,pdf_aligned,133,0.9999999736544954
CMC200,pdf_aligned,134,0.9999999736544954
CMC200,pdf_aligned,135,0.9999999736544954
CMC200,pdf_aligned,136,0.9999999736544954
CMC200,pdf_aligned,137,0.9999999736544954
CMC200,pdf_aligned,138,0.9999999736544954
CMC200,pdf_aligned,139,0.9999999736544954
CMC200,pdf_aligned,140,0.9999999736544954
CMC200,pdf_aligned,141,0.9999999736544954
CMC200,pdf_aligned,142,0.9999999736544954
