asset,lambda,m,label,t,w
SPX,0.3,0.5,g_mean,152,0.9999998523615624
SPX,0.3,0.5,g_mean,153,0.9999998557472628
SPX,0.3,0.5,g_mean,154,0.9999998834744275
SPX,0.3,0.5,g_mean,155,0.999999853541318
SPX,0.3,0.5,g_mean,156,0.9999998476922249
SPX,0.3,0.5,g_mean,157,0.999999848267138
SPX,0.3,0.5,g_mean,158,0.9999998520657298
SPX,0.3,0.5,g_mean,159,0.9999998510598364
SPX,0.3,0.5,g_mean,160,0.9197602655400822
SPX,0.3,0.5,g_mean,161,0.9197602601993068
SPX,0.3,0.5,g_mean,162,0.9197602607448292
SPX,0.3,0.5,g_mean,163,0.9197602574782774
SPX,1.8,0.01,high_lambda_low_m,1,0.6868788779873066
SPX,1.8,0.01,high_lambda_low_m,2,0.8321109474077797
SPX,1.8,0.01,high_lambda_low_m,3,0.6107428787712362
SPX,1.8,0.01,high_lambda_low_m,4,0.7310694594166277
SPX,1.8,0.01,high_lambda_low_m,5,0.5857411174801401
SPX,1.8,0.01,high_lambda_low_m,6,0.6697990321804712
SPX,1.8,0.01,high_lambda_low_m,7,0.933167694234269
SPX,1.8,0.01,high_lambda_low_m,8,0.6597602170126126
SPX,1.8,0.01,high_lambda_low_m,9,0.7635965835462255
SPX,1.8,0.01,high_lambda_low_m,10,0.7005578544312846
SPX,1.8,0.01,high_lambda_low_m,11,0.6882876348554264
SPX,1.8,0.01,high_lambda_low_m,12,0.7281423402360554
SPX,1.8,0.01,high_lambda_low_m,13,0.6093204512378096
SPX,1.8,0.01,high_lambda_low_m,14,0.7363030107308689
SPX,1.8,0.01,high_lambda_low_m,15,0.6749563875632526
SPX,1.8,0.01,high_lambda_low_m,16,0.6251654942404996
SPX,1.8,0.01,high_lambda_low_m,17,0.6895436381661453
SPX,1.8,0.01,high_lambda_low_m,18,0.8290792586449867
SPX,1.8,0.01,high_lambda_low_m,19,0.6526309817208528
SPX,1.8,0.01,high_lambda_low_m,20,0.6526309370670186
SPX,1.8,0.01,high_lambda_low_m,21,0.7133633749853912
SPX,1.8,0.01,high_lambda_low_m,22,0.886712456172443
SPX,1.8,0.01,high_lambda_low_m,23,0.8911974889648223
SPX,1.8,0.01,high_lambda_low_m,24,0.7258591696980464
SPX,1.8,0.01,high_lambda_low_m,25,0.8903570110238496
SPX,1.8,0.01,high_lambda_low_m,26,0.9360501630940423
SPX,1.8,0.01,high_lambda_low_m,27,0.6367856691575275
SPX,1.8,0.01,high_lambda_low_m,28,0.9455294866934995
SPX,1.8,0.01,high_lambda_low_m,29,0.588259903350112
SPX,1.8,0.01,high_lambda_low_m,30,0.8446728658262076
SPX,1.8,0.01,high_lambda_low_m,31,0.9945026409974592
SPX,1.8,0.01,high_lambda_low_m,32,0.7882642616973939
SPX,1.8,0.01,high_lambda_low_m,33,0.7535802585333691
SPX,1.8,0.01,high_lambda_low_m,34,0.8939671573339576
SPX,1.8,0.01,high_lambda_low_m,35,0.6173211188354271
SPX,1.8,0.01,high_lambda_low_m,36,0.7910821588452778
SPX,1.8,0.01,high_lambda_low_m,37,0.7113201155616261
SPX,1.8,0.01,high_lambda_low_m,38,0.7395623011952833
SPX,1.8,0.01,high_lambda_low_m,39,0.7187634326625026
SPX,1.8,0.01,high_lambda_low_m,40,0.731911959494004
SPX,1.8,0.01,high_lambda_low_m,41,0.8617238377235259
SPX,1.8,0.01,high_lambda_low_m,42,0.7270077236124026
SPX,1.8,0.01,high_lambda_low_m,43,0.6884818516936017
SPX,1.8,0.01,high_lambda_low_m,44,0.8407400509196775
SPX,1.8,0.01,high_lambda_low_m,45,0.9999999868112736
SPX,1.8,0.01,high_lambda_low_m,46,0.6875886855294313
SPX,1.8,0.01,high_lambda_low_m,47,0.8392239668640321
SPX,1.8,0.01,high_lambda_low_m,48,0.9130818837929411
SPX,1.8,0.01,high_lambda_low_m,49,0.6313101899931755
SPX,1.8,0.01,high_lambda_low_m,50,0.7135329121431997
SPX,1.8,0.01,high_lambda_low_m,51,0.7897701798854956
SPX,1.8,0.01,high_lambda_low_m,52,0.7417932537652177
SPX,1.8,0.01,high_lambda_low_m,53,0.6966132530502633
SPX,1.8,0.01,high_lambda_low_m,54,0.8854445924536138
